,name,satisfaction_2019,satisfaction_2018,download_2017,download_2018,download_2019,trend_2017,trend_2018,trend_2019,grate_2019,grate_2018
0,electron,85.7,87.1,13749,8630,12401,8832.029,17852.385,29508.0,1.653,2.021
1,reactnative,82.1,83.8,24073,10327,12176,10134.808,22497.856,35333.0,1.571,2.22
2,cordova,28.0,34.3,23962,24008,7598,15184.875,19221.846,25891.0,1.347,1.266
3,ionic,40.6,51.5,14736,3510,3974,15264.779,14289.452,9155.0,0.641,0.936
4,nwjs,32.6,,22,10,8,21.058,22.952,46.0,2.004,1.09
5,expo,73.8,,4074,2798,3304,661.875,4043.837,6378.0,1.577,6.11
6,jest,96.4,96.5,82722,65517,180185,32089.644,163210.269,480968.0,2.947,5.086
7,mocha,77.7,82.3,213880,111353,153288,161977.317,240394.221,354632.0,1.475,1.484
8,storybook,91.9,89.1,9721,9607,19629,1559.923,24516.24,74621.0,3.044,15.716
9,cypress,93.2,,151,3664,17249,14.404,6574.346,43684.0,6.645,456.425
10,enzyme,71.3,88.4,73452,25137,45146,39183.587,105798.144,201337.0,1.903,2.7
11,ava,63.4,71.6,8520,4523,7423,5801.125,10685.288,18420.0,1.724,1.842
12,jasmine,66.9,74.8,83555,33932,55882,54577.279,91451.288,148284.0,1.621,1.676
13,puppeteer,89.1,,1268,21060,39608,62.26,25603.49,111202.0,4.343,411.235
14,express,92.6,94.3,501500,290363,521838,348358.269,635773.471,1072631.0,1.687,1.825
15,nextjs,90.5,88.3,3782,8256,10957,1528.038,6980.365,24541.0,3.516,4.568
16,koa,80.2,84.8,14423,9695,13543,7678.712,17525.615,39540.0,2.256,2.282
17,meteor,27.6,37.6,205,20,11,96.154,103.067,55.0,0.534,1.072
18,sails,26.1,28.1,2083,2066,2040,2244.317,2990.01,3593.0,1.202,1.332
19,feathers,52.8,68.5,0,600,1231,0.0,625.25,2305.0,3.687,inf
20,nuxt,88.5,,1042,2010,10154,350.029,2691.433,11105.0,4.126,7.689
21,gatsby,88.4,,5558,3839,18243,2166.904,12713.058,30824.0,2.425,5.867
22,redux,70.7,82.1,122967,55134,107068,66769.721,172389.452,404406.0,2.346,2.582
23,apollo,89.8,92.9,48,861,3720,16.596,239.433,11511.0,48.076,14.427
24,graphql,94.8,94.2,34687,31626,77397,13681.731,65795.837,184136.0,2.799,4.809
25,relay,53.3,45.8,2522,778,1011,2052.663,3516.798,6228.0,1.771,1.713
26,mobx,69.5,77.7,22494,6662,10187,12093.538,23962.769,33551.0,1.4,1.981
